Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales,Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales,7 Day Other SKU Sales
"Jul 25, 2026",,USD,精确主干,精确主干 组,bathtub mat non slip,EXACT,bathtub mat non slip,3204,8,0.25%,$1.06,$8.49,$48.21,,,2,2,,,,,
"Jul 26, 2026",,USD,精确主干,精确主干 组,bathtub mat non slip,EXACT,bathtub mat non slip,1653,19,1.15%,$1.06,$20.16,$108.47,,,3,4,,,,,
"Jul 27, 2026",,USD,精确主干,精确主干 组,bathtub mat non slip,EXACT,bathtub mat non slip,1736,12,0.69%,$1.06,$12.73,$0.00,,,0,0,,,,,
"Jul 28, 2026",,USD,精确主干,精确主干 组,bathtub mat non slip,EXACT,bathtub mat non slip,829,2,0.24%,$1.06,$2.12,$35.20,,,1,1,,,,,
"Jul 29, 2026",,USD,精确主干,精确主干 组,bathtub mat non slip,EXACT,bathtub mat non slip,1054,6,0.57%,$1.06,$6.36,$45.80,,,2,2,,,,,
"Jul 30, 2026",,USD,精确主干,精确主干 组,bathtub mat non slip,EXACT,bathtub mat non slip,2988,17,0.57%,$1.06,$18.03,$35.20,,,1,1,,,,,
"Jul 31, 2026",,USD,精确主干,精确主干 组,bathtub mat non slip,EXACT,bathtub mat non slip,700,1,0.14%,$1.00,$1.00,$0.00,,,0,0,,,,,
"Aug 01, 2026",,USD,精确主干,精确主干 组,bathtub mat non slip,EXACT,bathtub mat non slip,575,2,0.35%,$1.02,$2.04,$0.00,,,0,0,,,,,
"Aug 02, 2026",,USD,精确主干,精确主干 组,bathtub mat non slip,EXACT,bathtub mat non slip,645,2,0.31%,$1.06,$2.12,$0.00,,,0,0,,,,,
"Jul 15, 2026",,USD,精确主干,精确主干 组,bathtub mat non slip,EXACT,bathtub mat anti slip,17,1,5.88%,$1.06,$1.06,$0.00,,,0,0,,,,,
"Jul 26, 2026",,USD,精确主干,精确主干 组,bathtub mat non slip,EXACT,bathtub mat anti slip,17,2,11.76%,$1.06,$2.12,$24.11,,,1,1,,,,,
"Jul 23, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,20 inch bathtub mat anti slip,2,2,100.0%,$1.10,$2.20,$48.21,,,2,2,,,,,
"Jul 15, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,20 inch natural bathtub mat anti slip flexible,2,1,50.0%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 18, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,30 inch machine washable strong to original bathtub mat non slip,2,1,50.0%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 12, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,size 5 bathtub mat non slip,33,2,6.06%,$1.10,$2.20,$0.00,,,0,0,,,,,
"Jul 28, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,size 5 bathtub mat non slip,61,2,3.28%,$1.12,$2.24,$24.11,,,1,1,,,,,
"Jul 10, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,skid free bathtub mat anti slip,136,2,1.47%,$1.10,$2.20,$24.11,,,1,1,,,,,
"Jul 31, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,skid free bathtub mat anti slip,207,1,0.48%,$1.12,$1.12,$0.00,,,0,0,,,,,
"Aug 01, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,skid free bathtub mat anti slip,179,1,0.56%,$1.12,$1.12,$0.00,,,0,0,,,,,
"Jul 25, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,nordly bathtub mat non slip,15,1,6.67%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 26, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,nordly bathtub mat non slip,9,1,11.11%,$0.69,$0.69,$0.00,,,0,0,,,,,
"Jul 27, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,nordly bathtub mat non slip,23,1,4.35%,$1.12,$1.12,$48.21,,,2,2,,,,,
"Jul 12, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,mildew resistant family bathtub mat anti slip,4,1,25.0%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 09, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,mildew resistant bathtub mat non slip,9,3,33.33%,$0.98,$2.94,$48.21,,,2,2,,,,,
"Jul 18, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,mildew resistant bathtub mat non slip,17,1,5.88%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 31, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,mildew resistant bathtub mat non slip,168,3,1.79%,$1.12,$3.37,$0.00,,,0,0,,,,,
"Jul 21, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,travel bathtub mat anti slip,2,1,50.0%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 14, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,big 7 extra large bathtub mat non slip skid free,1,1,100.0%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 21, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,original bathtub mat non slip,11,1,9.09%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 21, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,textured bathtub mat non slip eco kitchen,8,1,12.5%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 16, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,halvex machine washable bathtub mat non slip,44,1,2.27%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 24, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,halvex machine washable bathtub mat non slip,32,2,6.25%,$1.12,$2.24,$0.00,,,0,0,,,,,
"Jul 24, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,halvex machine washable bathtub mat non slip hotel x large,2,1,50.0%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 27, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,comfitra bathtub mat non slip,8,1,12.5%,$1.12,$1.12,$0.00,,,0,0,,,,,
"Jul 24, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,quorras bathtub mat non slip,6,1,16.67%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 20, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,pebble bathtub mat non slip,13,1,7.69%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 25, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,pebble bathtub mat non slip,17,1,5.88%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Aug 01, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,pebble bathtub mat non slip,8,2,25.0%,$1.10,$2.20,$0.00,,,0,0,,,,,
"Aug 01, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,mirabel bathtub mat anti slip,70,3,4.29%,$1.10,$3.31,$0.00,,,0,0,,,,,
"Aug 01, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,strong to original bathtub mat non slip,5,1,20.0%,$1.12,$1.12,$0.00,,,0,0,,,,,
"Jul 30, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,lightweight bathtub mat non slip,1,1,100.0%,$1.10,$1.10,$24.11,,,1,1,,,,,
"Jul 13, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,lightweight bathtub mat non slip with suction cups,4,2,50.0%,$1.10,$2.20,$0.00,,,0,0,,,,,
"Jul 20, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,lightweight bathtub mat anti slip,7,2,28.57%,$1.10,$2.20,$0.00,,,0,0,,,,,
"Jul 08, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,723,2,0.28%,$0.98,$1.96,$24.11,,,1,1,,,,,
"Jul 10, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,2034,9,0.44%,$1.09,$9.85,$0.00,,,0,0,,,,,
"Jul 11, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,6113,38,0.62%,$1.10,$41.83,$128.57,,,4,4,,,,,
"Jul 12, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,4005,22,0.55%,$1.04,$22.82,$48.21,,,2,2,,,,,
"Jul 13, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,1937,8,0.41%,$1.04,$8.31,$0.00,,,0,0,,,,,
"Jul 14, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,2976,12,0.4%,$1.10,$13.20,$96.42,,,4,4,,,,,
"Jul 15, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,2256,12,0.53%,$1.10,$13.22,$48.21,,,2,2,,,,,
"Jul 16, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,3892,13,0.33%,$1.10,$14.31,$161.27,,,6,6,,,,,
"Jul 17, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,2041,6,0.29%,$1.06,$6.37,$24.11,,,1,1,,,,,
"Jul 18, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,2379,9,0.38%,$1.10,$9.92,$24.11,,,1,1,,,,,
"Jul 19, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,1634,11,0.67%,$1.10,$12.12,$72.32,,,3,3,,,,,
"Jul 20, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,4682,21,0.45%,$1.10,$23.01,$24.11,,,1,1,,,,,
"Jul 21, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,8692,44,0.51%,$1.12,$49.21,$288.24,,,9,9,,,,,
"Jul 22, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,5408,26,0.48%,$1.12,$29.06,$158.14,,,4,5,,,,,
"Jul 23, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,4124,16,0.39%,$1.08,$17.21,$172.92,,,4,5,,,,,
"Jul 24, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,3406,26,0.76%,$1.09,$28.22,$0.00,,,0,0,,,,,
"Jul 25, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,4123,27,0.65%,$1.11,$30.07,$72.32,,,3,3,,,,,
"Jul 26, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,3346,20,0.6%,$1.12,$22.36,$48.21,,,2,2,,,,,
"Jul 27, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,8183,32,0.39%,$1.10,$35.27,$192.84,,,8,8,,,,,
"Jul 28, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,10458,47,0.45%,$1.11,$52.22,$88.95,,,3,3,,,,,
"Jul 29, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,7895,30,0.38%,$1.12,$33.67,$0.00,,,0,0,,,,,
"Jul 30, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,4949,37,0.75%,$1.11,$40.90,$272.74,,,10,10,,,,,
"Jul 31, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,3902,11,0.28%,$1.12,$12.29,$72.32,,,2,3,,,,,
"Aug 01, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,7522,33,0.44%,$1.10,$36.17,$216.95,,,9,9,,,,,
"Aug 02, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip,8670,41,0.47%,$1.10,$45.00,$152.53,,,7,7,,,,,
"Jul 16, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip 20 inch,20,2,10.0%,$1.10,$2.20,$48.21,,,2,2,,,,,
"Jul 09, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip 28 inch,1,1,100.0%,$0.98,$0.98,$0.00,,,0,0,,,,,
"Jul 28, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip 30 inch gray,14,1,7.14%,$0.98,$0.98,$0.00,,,0,0,,,,,
"Jul 25, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip 30 inch,4,2,50.0%,$1.12,$2.24,$0.00,,,0,0,,,,,
"Jul 28, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip size 4,26,3,11.54%,$1.11,$3.34,$24.11,,,1,1,,,,,
"Jul 18, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip original shower floor,28,1,3.57%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 07, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip dremo,4,1,25.0%,$0.98,$0.98,$0.00,,,0,0,,,,,
"Jul 17, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip size size 7,8,4,50.0%,$1.10,$4.41,$0.00,,,0,0,,,,,
"Jul 31, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip basic tub gripping,7,1,14.29%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 12, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip machine washable,39,2,5.13%,$0.86,$1.72,$0.00,,,0,0,,,,,
"Jul 19, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip machine washable,16,1,6.25%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 20, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip machine washable,65,2,3.08%,$1.10,$2.20,$0.00,,,0,0,,,,,
"Jul 21, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip machine washable,52,2,3.85%,$1.02,$2.04,$48.21,,,2,2,,,,,
"Jul 29, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip machine washable,136,2,1.47%,$1.08,$2.16,$0.00,,,0,0,,,,,
"Jul 30, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip machine washable,48,2,4.17%,$1.12,$2.24,$0.00,,,0,0,,,,,
"Jul 31, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip with textured,9,2,22.22%,$1.12,$2.24,$0.00,,,0,0,,,,,
"Jul 12, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat non slip with suction cups,2,1,50.0%,$1.10,$1.10,$24.11,,,1,1,,,,,
"Jul 11, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat anti slip,211,5,2.37%,$1.10,$5.51,$0.00,,,0,0,,,,,
"Jul 17, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat anti slip,31,2,6.45%,$1.10,$2.20,$0.00,,,0,0,,,,,
"Jul 20, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat anti slip,105,1,0.95%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 21, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat anti slip,116,1,0.86%,$1.12,$1.12,$0.00,,,0,0,,,,,
"Jul 22, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat anti slip,160,1,0.62%,$1.12,$1.12,$0.00,,,0,0,,,,,
"Jul 23, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat anti slip,170,1,0.59%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 27, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat anti slip,264,4,1.52%,$1.12,$4.49,$0.00,,,0,0,,,,,
"Jul 28, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat anti slip,522,3,0.57%,$1.12,$3.37,$0.00,,,0,0,,,,,
"Jul 29, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat anti slip,359,4,1.11%,$1.12,$4.46,$48.21,,,2,2,,,,,
"Jul 30, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat anti slip,171,1,0.58%,$1.12,$1.12,$0.00,,,0,0,,,,,
"Aug 02, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat anti slip,125,2,1.6%,$1.12,$2.24,$0.00,,,0,0,,,,,
"Aug 02, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat anti slip runner rug,12,1,8.33%,$1.11,$1.11,$24.11,,,1,1,,,,,
"Jul 13, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat anti slip runner luxury 30 inch,1,1,100.0%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 26, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,bathtub mat anti slip quorra,8,2,25.0%,$1.12,$2.24,$0.00,,,0,0,,,,,
"Aug 02, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,apartment bathtub mat non slip,1,1,100.0%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 20, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,deluxe in shower bathtub mat non slip,1,1,100.0%,$0.88,$0.88,$0.00,,,0,0,,,,,
"Jul 23, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,wide nordic bathtub mat non slip,12,1,8.33%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 12, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,koverra bathtub mat non slip,18,1,5.56%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 21, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,koverra bathtub mat non slip,25,1,4.0%,$1.10,$1.10,$24.11,,,1,1,,,,,
"Aug 01, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,koverra bathtub mat non slip,12,1,8.33%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 31, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,koverra bathtub mat non slip all hotel comfort runner rugs,4,1,25.0%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 28, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,longer bathtub mat non slip,4,1,25.0%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 30, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,pack of 6 bathtub mat non slip,5,2,40.0%,$1.12,$2.24,$48.21,,,2,2,,,,,
"Jul 24, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,quick drying pebble bathtub mat anti slip,7,1,14.29%,$1.10,$1.10,$0.00,,,0,0,,,,,
"Jul 09, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,quick drying bathtub mat non slip,7,2,28.57%,$1.10,$2.20,$0.00,,,0,0,,,,,
"Jul 20, 2026",,USD,词组主干,词组主干 组,bathtub mat non slip,PHRASE,quick drying bathtub mat non slip,24,1,4.17%,$0.96,$0.96,$0.00,,,0,0,,,,,
